Last event arrived at: 18102016


REL1 0 19-10-2016 05:00:00  p018 19.10.2016. 5:00:06

REL2 0 19-10-2016 06:45:00  p019 19.10.2016. 6:45:05

DOOR EVENT 0 19-10-2016 09:30:35  p020 19.10.2016. 9:30:39

DOOR EVENT 1 19-10-2016 09:30:37  p021 19.10.2016. 9:30:40

NEUSPELO ISKLJUCENJE 1 19-10-2016 09:30:43  p022 19.10.2016. 9:30:47

NEUSPELO ISKLJUCENJE 0 19-10-2016 09:30:47  p023 19.10.2016. 9:30:51

REL1 1 19-10-2016 16:01:33  p000 19.10.2016. 16:01:15

REL1 0 19-10-2016 16:01:33  p001 19.10.2016. 16:01:16

REL1 1 19-10-2016 16:02:11  p002 19.10.2016. 16:01:53

REL1 0 19-10-2016 16:02:13  p003 19.10.2016. 16:01:56

REL1 1 19-10-2016 16:02:15  p004 19.10.2016. 16:01:58

REL1 0 19-10-2016 16:02:17  p005 19.10.2016. 16:01:59

DOOR EVENT 0 19-10-2016 16:03:00  p006 19.10.2016. 16:02:42

DOOR EVENT 1 19-10-2016 16:03:02  p007 19.10.2016. 16:02:44

REL1 1 19-10-2016 16:03:32  p008 19.10.2016. 16:03:43

REL1 0 19-10-2016 16:03:33  p009 19.10.2016. 16:03:43

REL1 1 19-10-2016 16:03:35  p010 19.10.2016. 16:03:43

REL1 0 19-10-2016 16:03:36  p011 19.10.2016. 16:03:43

REL1 1 19-10-2016 16:03:54  p012 19.10.2016. 16:03:43

OTVORENO KOLO 1 19-10-2016 16:03:57  p013 19.10.2016. 16:03:43

REL1 0 19-10-2016 16:04:00  p014 19.10.2016. 16:03:43

OTVORENO KOLO 0 19-10-2016 16:04:03  p015 19.10.2016. 16:03:46

REL1 1 19-10-2016 16:04:17  p016 19.10.2016. 16:03:59

OTVORENO KOLO 1 19-10-2016 16:04:20  p017 19.10.2016. 16:04:02

REL1 0 19-10-2016 16:04:28  p018 19.10.2016. 16:04:11

OTVORENO KOLO 0 19-10-2016 16:04:31  p019 19.10.2016. 16:04:13

DOOR EVENT 0 19-10-2016 16:04:43  p020 19.10.2016. 16:04:25

DOOR EVENT 0 19-10-2016 16:04:43  p020 19.10.2016. 16:04:29

DOOR EVENT 0 19-10-2016 16:04:43  p020 19.10.2016. 16:04:38

DOOR EVENT 0 19-10-2016 16:04:43  p020 19.10.2016. 16:04:48

DOOR EVENT 1 19-10-2016 16:04:44  p021 19.10.2016. 16:04:48

DOOR EVENT 0 19-10-2016 16:05:47  p000 19.10.2016. 16:05:30

DOOR EVENT 0 19-10-2016 16:05:47  p000 19.10.2016. 16:05:33

DOOR EVENT 0 19-10-2016 16:05:47  p000 19.10.2016. 16:05:42

DOOR EVENT 0 19-10-2016 16:06:24  p000 19.10.2016. 16:06:07

DOOR EVENT 0 19-10-2016 16:06:24  p000 19.10.2016. 16:06:10

DOOR EVENT 0 19-10-2016 16:06:24  p000 19.10.2016. 16:06:19

DOOR EVENT 0 19-10-2016 16:07:07  p000 19.10.2016. 16:06:50

DOOR EVENT 1 19-10-2016 16:07:08  p001 19.10.2016. 16:06:50

REL1 1 19-10-2016 16:07:51  p000 19.10.2016. 16:07:33

OTVORENO KOLO 1 19-10-2016 16:07:53  p001 19.10.2016. 16:07:35

REL1 0 19-10-2016 16:07:56  p002 19.10.2016. 16:07:39

OTVORENO KOLO 0 19-10-2016 16:07:59  p003 19.10.2016. 16:07:42

REL1 1 19-10-2016 16:08:44  p004 19.10.2016. 16:08:27

OTVORENO KOLO 1 19-10-2016 16:08:47  p005 19.10.2016. 16:08:30

REL1 0 19-10-2016 16:08:47  p006 19.10.2016. 16:08:30

REL1 1 19-10-2016 16:08:48  p007 19.10.2016. 16:08:30

REL1 0 19-10-2016 16:08:49  p008 19.10.2016. 16:08:32

OTVORENO KOLO 0 19-10-2016 16:08:52  p009 19.10.2016. 16:08:34

REL1 1 19-10-2016 16:08:52  p010 19.10.2016. 16:08:34

REL2 1 19-10-2016 16:08:52  p011 19.10.2016. 16:08:35

REL2 0 19-10-2016 16:08:53  p012 19.10.2016. 16:08:36

REL1 0 19-10-2016 16:08:54  p013 19.10.2016. 16:08:36

DOOR EVENT 0 19-10-2016 16:09:21  p000 19.10.2016. 16:09:03

DOOR EVENT 1 19-10-2016 16:09:22  p001 19.10.2016. 16:09:05

REL1 1 19-10-2016 16:23:11  p000 19.10.2016. 16:22:54

REL1 0 19-10-2016 16:23:12  p001 19.10.2016. 16:22:54

