Last event arrived at: Not initialized yet 


REL1 1 20-10-2016 10:17:08  p000 20.10.2016. 10:20:54

REL1 0 20-10-2016 10:17:09  p001 20.10.2016. 10:20:54

DOOR EVENT 0 20-10-2016 10:21:12  p002 20.10.2016. 10:20:54

DOOR EVENT 1 20-10-2016 10:21:14  p003 20.10.2016. 10:20:55

REL1 1 20-10-2016 10:21:28  p004 20.10.2016. 10:21:09

REL1 0 20-10-2016 10:21:36  p005 20.10.2016. 10:21:17

REL2 1 20-10-2016 10:21:42  p006 20.10.2016. 10:21:24

REL2 0 20-10-2016 10:21:45  p007 20.10.2016. 10:21:26

REL1 1 20-10-2016 10:26:12  p000 20.10.2016. 10:25:53

REL1 0 20-10-2016 10:26:14  p001 20.10.2016. 10:25:56

REL1 1 20-10-2016 10:26:25  p002 20.10.2016. 10:26:06

REL1 1 20-10-2016 10:26:25  p002 20.10.2016. 10:26:10

REL1 1 20-10-2016 10:26:25  p002 20.10.2016. 10:26:19

REL1 0 20-10-2016 10:26:41  p003 20.10.2016. 10:26:22

